epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2040.71,0.97051,0.74872,1.24457,0.76851,0.65228,0.71905,0.40802,1.38389,0.84109,1.54138,0.000176094,0.000176094,0.000176094
87,2059.97,0.9699,0.74707,1.24014,0.70707,0.69019,0.71845,0.40916,1.37734,0.83877,1.53633,0.000165095,0.000165095,0.000165095
88,2079.25,0.97226,0.74407,1.24122,0.75448,0.64793,0.71349,0.41313,1.37177,0.8418,1.53612,0.000154096,0.000154096,0.000154096
89,2098.34,0.96941,0.73256,1.23159,0.74027,0.67493,0.72425,0.41747,1.37995,0.83704,1.5368,0.000143097,0.000143097,0.000143097
90,2117.59,0.96066,0.73238,1.23031,0.72128,0.64414,0.70109,0.40974,1.36537,0.82531,1.5222,0.000132098,0.000132098,0.000132098
91,2137.26,0.97875,0.65417,1.26075,0.75069,0.67859,0.7185,0.40517,1.36592,0.82342,1.53215,0.000121099,0.000121099,0.000121099
92,2156.3,0.95476,0.616,1.24124,0.77007,0.66706,0.70213,0.40944,1.36987,0.82827,1.54602,0.0001101,0.0001101,0.0001101
93,2174.95,0.93778,0.60072,1.22692,0.7817,0.65598,0.70682,0.41086,1.3753,0.82067,1.54687,9.91012e-05,9.91012e-05,9.91012e-05
94,2193.63,0.93493,0.60049,1.23062,0.77424,0.66857,0.7172,0.41358,1.37893,0.82257,1.54935,8.81023e-05,8.81023e-05,8.81023e-05
95,2212.59,0.92283,0.59487,1.2252,0.77338,0.64612,0.72118,0.41731,1.37972,0.82351,1.55026,7.71034e-05,7.71034e-05,7.71034e-05
96,2231.54,0.91439,0.57853,1.2136,0.72214,0.67899,0.71244,0.41284,1.3737,0.82002,1.54846,6.61045e-05,6.61045e-05,6.61045e-05
97,2250.46,0.90837,0.57581,1.2154,0.75612,0.66973,0.71666,0.41429,1.37078,0.82259,1.54769,5.51056e-05,5.51056e-05,5.51056e-05
98,2269.46,0.89735,0.56804,1.20466,0.77128,0.63262,0.72072,0.41273,1.36927,0.81795,1.54782,4.41067e-05,4.41067e-05,4.41067e-05
99,2288.48,0.89044,0.56696,1.20458,0.76361,0.65958,0.71115,0.41538,1.36356,0.81991,1.54376,3.31078e-05,3.31078e-05,3.31078e-05
100,2307.44,0.88865,0.5662,1.19995,0.74877,0.66101,0.71081,0.41749,1.36202,0.81212,1.54263,2.21089e-05,2.21089e-05,2.21089e-05
